Token,PoS,Lemma
Richtfest,NOUN,Richtfest
für,ADP,für
Neubauvorhaben,NOUN,Neubauvorhaben
„,PUNCT,--
Wohnen,NOUN,wohnen
am,ADP,an
LichtGarten,NOUN,LichtGarten
“,PUNCT,--
"
",SPACE,"
"
Die,DET,der
WGLi,PROPN,WGLi
Wohnungsgenossenschaft,NOUN,Wohnungsgenossenschaft
Lichtenberg,PROPN,Lichtenberg
eG,PROPN,eG
feierte,VERB,feiern
am,ADP,an
18.,ADJ,18.
Oktober,NOUN,Oktober
2018,NUM,2018
das,DET,der
Richtfest,NOUN,Richtfest
für,ADP,für
das,DET,der
Neubauvorhaben,NOUN,Neubauvorhaben
„,PUNCT,--
Wohnen,NOUN,wohnen
am,ADP,an
LichtGarten,NOUN,LichtGarten
“,PUNCT,--
und,CCONJ,und
damit,ADV,damit
für,ADP,für
107,NUM,107
Wohnungen,NOUN,Wohnung
am,ADP,an
Weißenseer,NOUN,Weißenseer
Weg,NOUN,Weg
15,NUM,15
-,PUNCT,--
16.,ADJ,16.
An,ADP,an
den,DET,der
Feierlichkeiten,NOUN,Feierlichkeit
nahmen,VERB,nehmen
neben,ADP,neben
dem,DET,der
BBU-Vorstand,NOUN,BBU-Vorstand
Maren,ADJ,Mar
Kern,NOUN,Kern
auch,ADV,auch
der,DET,der
Bezirksbürgermeister,NOUN,Bezirksbürgermeister
Lichtenbergs,PROPN,Lichtenberg
",",PUNCT,--
Michael,PROPN,Michael
Grunst,PROPN,Grunst
(,PUNCT,--
Die,DET,der
Linke,NOUN,Linke
),PUNCT,--
",",PUNCT,--
und,CCONJ,und
die,DET,der
stellvertretende,ADJ,stellvertretend
Bezirksbürgermeisterin,NOUN,Bezirksbürgermeisterin
Birgit,PROPN,Birgit
Monteiro,PROPN,Monteiro
(,PUNCT,--
SPD,PROPN,SPD
),PUNCT,--
sowie,CCONJ,sowie
der,DET,der
Bezirksstadtrat,NOUN,Bezirksstadtrat
Wilfried,PROPN,Wilfried
Nünthel,PROPN,Nünthel
(,PUNCT,--
CDU,PROPN,CDU
),PUNCT,--
teil,ADV,teil
.,PUNCT,--
Der,DET,der
WGLi-Aufsichtsratsvorsitzende,ADJ,WGLi-Aufsichtsratsvorsitzend
Volker,PROPN,Volker
Esche,PROPN,Esche
und,CCONJ,und
die,DET,der
WGLi-Vorstandsmitglieder,DET,WGLi-Vorstandsmitglieder
Monika,PROPN,Monika
