Token,PoS,Lemma
Pilotprojekt,NOUN,Pilotprojekt
homeDX,NUM,homeDX
geht,VERB,gehen
mit,ADP,mit
Unterstützung,NOUN,Unterstützung
des,DET,der
Landes,NOUN,Land
Berlin,PROPN,Berlin
und,CCONJ,und
des,DET,der
Bezirksamts,NOUN,Bezirksamt
Mitte,NOUN,Mitte
in,ADP,in
die,DET,der
zweite,ADJ,zweiter
Runde,NOUN,Runde
"
",SPACE,"
"
Der,DET,der
Bezirksbürgermeister,NOUN,Bezirksbürgermeister
von,ADP,von
Mitte,NOUN,Mitte
",",PUNCT,--
Stephan,PROPN,Stephan
von,ADP,von
Dassel,PROPN,Dassel
",",PUNCT,--
informiert,VERB,informieren
:,PUNCT,--
Von,ADP,von
Gesundheitsfachleuten,NOUN,Gesundheitsfachleut
überwachte,ADJ,überwachen
und,CCONJ,und
geprüfte,ADJ,geprüft
Covid-19-Schnelltests,NOUN,Covid-19-Schnelltest
",",PUNCT,--
die,PRON,der
von,ADP,von
Laien,NOUN,Laie
unkompliziert,ADV,unkompliziert
durchgeführt,VERB,durchführen
werden,AUX,werden
können,AUX,können
",",PUNCT,--
helfen,VERB,helfen
",",PUNCT,--
Infektionsketten,NOUN,Infektionskett
zu,PART,zu
unterbrechen,VERB,unterbrechen
.,PUNCT,--
Mit,ADP,mit
dem,DET,der
nun,ADV,nun
wieder,ADV,wieder
vermehrten,ADJ,vermehrt
Auftreten,NOUN,auftreten
von,ADP,von
Erkältungs-,X,Erkältung
und,CCONJ,und
Grippesymptomen,NOUN,Grippesymptome
leistet,VERB,leisten
die,DET,der
erprobte,ADJ,erprobt
telemedizinische,ADJ,telemedizinisch
Plattform,NOUN,Plattform
homeDX,NUM,homeDX
einen,DET,ein
Beitrag,NOUN,Beitrag
zur,ADP,zu
Sicherheit,NOUN,Sicherheit
während,ADP,während
der,DET,der
Pandemie,NOUN,Pandemie
.,PUNCT,--
Daher,ADV,daher
geht,VERB,gehen
das,PRON,der
im,ADP,in
Frühjahr,NOUN,Frühjahr
viel,ADV,viel
beachtete,ADJ,beachtet
Projekt,NOUN,Projekt
",",PUNCT,--
initiiert,VERB,initiieren
durch,ADP,durch
das,DET,der
DiagnostikNet-BB,PROPN,DiagnostikNet-BB
(,PUNCT,--
Netzwerk,NOUN,Netzwerk
Diagnostik,NOUN,Diagnostik
Berlin-Brandenburg,PROPN,Berlin-Brandenburg
),PUNCT,--
",",PUNCT,--
die,DET,der
IHK,PROPN,IHK
Berlin,PROPN,Berlin
",",PUNCT,--
den,DET,der
Bezirk,NOUN,Bezirk
Berlin-Mitte,PROPN,Berlin-Mitte
und,CCONJ,und
unterstützt,VERB,unterstützen
vom,ADP,von
Berliner,ADJ,Berliner
Senat,NOUN,Senat
in,ADP,in
die,DET,der
2.,ADJ,2.
Runde,NOUN,Runde
.,PUNCT,--
Für,ADP,für
die,DET,der
Mehrheit,NOUN,Mehrheit
der,DET,der
Bürgerinnen,NOUN,Bürgerin
und,CCONJ,und
Bürger,NOUN,Bürger
sind,AUX,sein
Corona-Tests,NOUN,Corona-Test
im,ADP,in
Testzentrum,NOUN,Testzentrum
seit,ADP,seit
Beginn,NOUN,Beginn
der,DET,der
Woche,NOUN,Woche
kostenpflichtig,ADV,kostenpflichtig
.,PUNCT,--
Für,ADP,für
die,DET,der
Senatsverwaltung,NOUN,Senatsverwaltung
Gesundheit,NOUN,Gesundheit
",",PUNCT,--
Pflege,NOUN,Pflege
und,CCONJ,und
Gleichstellung,NOUN,Gleichstellung
bleibt,VERB,bleiben
eine,DET,ein
regelmäßige,ADJ,regelmäßig
Testung,NOUN,Testung
aber,ADV,aber
auch,ADV,auch
weiterhin,ADV,weiterhin
ein,DET,ein
wichtiger,ADJ,wichtig
Baustein,NOUN,Baustein
bei,ADP,bei
der,DET,der
Bewältigung,NOUN,Bewältigung
der,DET,der
Pandemie,NOUN,Pandemie
.,PUNCT,--
Der,DET,der
Bezirk,NOUN,Bezirk
Berlin-Mitte,PROPN,Berlin-Mitte
ermöglicht,VERB,ermöglichen
es,PRON,es
den,DET,der
Projektteilnehmenden,NOUN,Projektteilnehmend
",",PUNCT,--
sich,PRON,sich
über,ADP,über
